Name,Address,Org Unit,Status,Power Type,Public,Warranty,Location Name
,232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,3701 Craig Ave,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,600 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,6001 General Commerce Dr,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
,6001 General Commerce,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / 247 EV ARC",4411 Northpointe Industrial Blvd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / 248 EV ARC",500 Dalton Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / 249 EV ARC",1776 Statesville Ave,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / 250 EV ARC",932 Seigle Ave,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / ATANDO 1",1031 Atando Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / ATANDO 2",1031 Atando Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CATS I-485 1",9512 South Blvd,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CATS I-485 2",9512 South Blvd,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CATS I-485 3",9512 South Blvd,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CATS I-485 4",9512 South Blvd,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CDOT CRAIG EV1",3701 Craig Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CDOT CRAIG EV2",3701 Craig Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CDOT CRAIG EV3",3701 Craig Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CDOT CRAIG EV4",3701 Craig Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CDOT CRAIG EV5",3701 Craig Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CDOT CRAIG EV6",3701 Craig Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK ADA",232 South Davidson Street,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK DCFC",232 S Davidson St,City of Charlotte,AVAILABLE,DC,Yes,,
"CHARLOTTE, NC / CMGC DECK F01",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F02",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F03",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F04",278 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F05",278 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F06",278 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F07",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F08",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F09",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F10",252 South Davidson Street,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F11",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F12",232 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F13",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F14",232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F15",700 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F16",232 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F17",232 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F18",232 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F19",700 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F20",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F21",700 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F22",232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F23",232 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F24",700 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F25",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F26",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F27",278 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F28",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F29",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F30",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F31",278 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F32",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F33",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F34",278 S Davidson St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F35",278 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F36",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F37",278 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F38",518 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F39",518 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F40",518 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F41",518 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F42",518 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F43",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F44",232 S Davidson St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F45",518 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F46",518 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F47",518 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F48",518 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F49",518 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC DECK F50",518 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC EV 1",600 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC EV 2",600 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC EV 3",600 E 4th St,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC EV 4",600 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC PRKG L1-1",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC PRKG L1-2",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC STATION 2",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC STATION 4",232 S Davidson St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC VIP 1",600 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC VIP 2",600 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC VIP 3",600 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMGC VIP 4",600 E 4th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD CENTRAL 1",700 W 5th St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD CENTRAL 2",700 W 5th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD CENTRAL 3",700 W 5th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD CENTRAL 4",700 W 5th St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD HG FLEET-1",7025 Albemarle Rd,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD HG VISIT-1",7025 Albemarle Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD HG VISIT-2",7025 Albemarle Rd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD INDP EV 1",6711 City View Drive,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD INDP EV 2",6711 City View Drive,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD INDP EV 3",6711 City View Drive,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD LEC EV1",122 N. Davidson St.,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD LEC EV2",122 N. Davidson St.,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD LEC EV3",122 N. Davidson St.,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD LEC EV4",122 N. Davidson St.,City of Charlotte,UNREACHABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD LEC EV5",122 N. Davidson St.,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD LEC EV6",122 N. Davidson St.,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD SOUTH EV-1",11217 Providence Rd W,City of Charlotte,OCCUPIED,AC_1_PHASE,No,,
"CHARLOTTE, NC / CMPD SOUTH EV-2",11217 Providence Rd W,City of Charlotte,OCCUPIED,AC_1_PHASE,No,,
"CHARLOTTE, NC / CMPD UC EV-1",8452 N Tryon St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD UC EV-2",8452 N Tryon St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD WESTOVER 1",2550 West Blvd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD WESTOVER 2",2550 West Blvd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / CMPD WESTOVER 3",2550 West Blvd,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / DISCOVERY 1",315 N Church St,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / EASTWAY CMPD 01",3517 Central Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / FH-45 FLEET-1",5800 N Tryon St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / FH-45 VISIT-1",5800 N Tryon St,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / FIRE HQ 1",500 Dalton Ave,City of Charlotte,OCCUPIED,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / FIRE HQ 2",500 Dalton Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / FIRE HQ 3",500 Dalton Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
"CHARLOTTE, NC / FIRE HQ 4",500 Dalton Ave,City of Charlotte,AVAILABLE,AC_1_PHASE,Yes,,
